Проект,Мониторинг,Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23
Create Capital EK Utopia BTC,https://app.createcapital.pro/ranking/2464,"1,59",,"-11,00","7,98","0,53","16,09","-39,41","0,04",,,,,,,,,,,,,,,,,"6,42","-7,04","10,16","0,44","16,09","3,61","6,63","9,58","-7,54","12,94","-11,04","11,05","-39,41","5,00","6,95"
Doberbot,https://live.doberbot.com/ranking/2008,"2,04",,"-13,86","9,68","0,69","32,80","-34,56","0,04",,,,,,,,,,,,,,,,,,"12,43","-3,24","2,02","32,80","0,94","17,02","-0,96","-15,14","-34,56","2,42","-15,22","22,42","1,11","6,58"
PHOENIX by hamster-bot Binance,https://tradelink.pro/portfolio/610ac7e5-77cd-4088-b65a-d4d5e2743fbc,"0,42","-16,43",,"3,27","0,27","14,73","-6,80","0,05",,,,,,,,,,,,,,,,,,,,"-0,47","14,73","0,96","2,50","-4,07","-4,31","5,55","-4,05","2,37","-4,28","2,93","-6,80"
Triple AI Turing [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/65313664-86d8-4433-bb50-58890fa1d5a0,"0,49","-19,57",,"6,68","0,33","12,12","-11,81","0,06",,,,,,,,,,,,"0,74","4,99","0,00","-0,16","0,86","1,00","-3,91","5,50","-1,47","-7,94","6,81","12,12","-11,81","1,08","3,22","-7,98","7,17","-6,73","2,08","4,24"
AfiTrading Foundation ALT HUNTER,https://copy.afitrading.ru/ranking/1939,"10,23",,"-30,87","47,61","3,17","140,49","-70,60","0,07",,,,,,,,,,,,,,,,,"12,89","21,20","140,49","0,54","-70,60","0,00","5,50","5,11","2,60","8,70","10,78","24,99","2,65","-21,61","10,14"
Quant Hill Crypto Trend USDT,https://tradelink.pro/portfolio/54c4e5f6-2b87-41a8-8884-d24fa8f5da5e,"0,80","-25,06",,"14,75","0,48","28,45","-12,12","0,05","3,24","-2,64","1,40","-8,58","-0,41","4,46","-2,80","-3,99","5,14","0,29","0,02","-2,73","2,55","22,75","-4,89","0,65","-11,45","5,17","0,20","-8,65","28,45","0,46","1,38","1,47","-6,41","2,32","-7,66","11,72","-12,12","12,63","-7,26"
Mellivora trade,"https://app.aivia.io/ranking/291
https://app.createcapital.pro/ranking/1764","2,03",,"-0,27","49,14","1,59","30,89","-17,02","0,13","13,24","3,93","29,84","-16,41","30,89","-17,02","-1,42","-0,26","24,00","16,66","-8,93","6,70","0,24","16,61","15,00","-11,46","-15,89","-2,74","-1,34","3,48","5,76","-1,32","3,54","-8,93","-8,63","-0,43","-10,48","1,78","-5,72","7,80","-5,62"
bm-analytics (ex Trade-bm),https://bm-analytics.aum.expert/ranking/217,"2,94",,"-0,49","77,92","2,51","38,47","-28,11","0,17","34,38","10,18","-16,14","11,77","18,96","7,36","3,49","3,25","6,72","-4,51","4,42","-0,78","2,37","7,29","-4,68","-6,51","-6,31","16,83","0,55","3,57","-5,34","-7,08","17,05","-23,96","-11,17","38,47","-5,31","32,85","-3,88","-4,72","-28,11"
Mellivora trade TradeLink M_BTC,https://tradelink.pro/portfolio/418598be-fc59-4da6-a7ce-eb8a78f9b75d,"7,53","-56,03",,"91,79","5,40","81,56","-22,93","0,18",,,,,,,,,,,,,,,"23,37","-22,93","-21,26","6,10","-22,03","-3,28","57,97","-2,00","46,77","-2,16","-20,35","23,91","-17,11","-17,23","3,78","81,56","12,88"
EDKhan Felix,https://fund.edkhan.net/ranking/1535,"2,61",,"-5,05","46,79","2,34","33,73","-24,59","0,20",,,,,,,,,,,,"1,29","33,73","11,60","1,33","6,72","6,33","5,29","3,26","-0,91","8,29","1,10","7,59","-9,10","-15,08","-24,59","4,51","0,51","-9,17","16,97","2,44"
Algotoria MIXED,https://tradelink.pro/portfolio/8d78b017-b2aa-47f1-8c92-ece97c3d7a82 ,"4,92","-47,25",,"104,37","4,54","94,10","-19,37","0,20",,,,,,,,,"-1,68","6,24","7,62","-11,15","12,46","10,94","15,33","-2,86","-7,02","5,15","2,27","-10,92","94,10","1,90","-2,94","0,98","-7,25","-2,39","-19,37","-10,00","-0,78","38,87","-6,34"
Aquiles Scalper,https://app.zignaly.com/profit-sharing/5fd8abc4d8839644fe118b04,"3,65",,,"41,25","3,17","45,56","-14,39","0,20",,,,,,,,,,,,,,,,,,,"7,86","-9,72","21,15","-14,39","0,29","8,38","-1,44","-3,72","-8,74","2,66","-3,93","45,56","3,50"
Ed Khan First InFractals,https://tradelink.pro/portfolio/ca39bb79-b9d6-4b06-bcd7-d80492275bae,"1,41","-22,87",,"39,17","1,45","27,39","-8,09","0,23",,,,,"4,53","3,14","2,62","1,30","4,02","1,76","-1,54","2,58","-4,38","2,17","1,75","1,10","7,62","2,39","2,14","0,38","-3,87","2,46","27,39","-1,29","-7,78","-1,10","-2,96","4,85","-8,09","0,46","-3,60"
TSLab.pro bots,https://tradelink.pro/portfolio/7c119037-d708-4174-ab9d-aedb70267522,"0,97","-16,18",,"31,27","1,01","13,35","-6,43","0,23","5,41","0,81","5,27","-3,74","5,26","4,50","-4,53","-0,12","0,40","8,14","0,06","-2,20","0,14","2,44","2,12","-3,76","-4,38","4,04","2,06","-3,07","13,35","-1,73","2,59","0,01","-3,59","1,58","-6,43","0,81","-2,00","7,12","-0,52"
TradeForImpact Ultra Safe,https://app.zignaly.com/profit-sharing/61af89264bd3384d8220f87c,"2,79",,,"34,44","2,65","30,77","-9,74","0,24",,,,,,,,,,,,,,,,,,,"-9,74","-4,37","19,58","0,52","30,77","-7,21","-1,26","-1,05","-0,65","-1,00","3,97","3,99","2,78"
Algotoria,https://t.me/ALGOTORIA,"4,10","-26,38",,"131,52","4,70","67,13","-13,14","0,29",,,,"-6,78","25,29","13,37","-13,14","0,56","-1,17","17,97","12,98","-12,37","3,89","14,62","14,54","-1,46","-8,35","5,09","1,96","-10,46","67,13","1,96","-3,00","1,99","-8,20","-5,16","-12,58","-4,90","-3,14","24,16","0,00"
PHOENIX by hamster-bot,https://hamster-bot.com/phoenix,"1,48","-16,73",,"48,76","1,63","14,73","-12,24","0,30",,"0,52","-0,30","2,67","10,90","5,12","2,26","-0,13","-0,68","1,64","0,21","3,08","5,81","2,08","10,31","-1,11","-12,24","-0,51","9,62","-0,47","14,73","0,96","2,50","-4,07","-4,31","5,55","-4,05","2,37","-4,28","2,93","-6,80"
RAProfit Scalping Dream,https://copy.raprofit.com/ranking/1597,"8,91",,"-5,64","154,96","8,61","75,37","-56,04","0,32",,,,,,,,,,,,,,"1,74","11,86","15,66","17,72","0,74","14,24","11,23","-20,66","10,05","12,00","11,47","-11,15","-56,04","14,55","-2,34","75,37","53,88","0,00"
Alfa-Quant 300,https://www.comon.ru/strategies/17475/,"3,60","-38,00",,"137,52","4,44","60,30","-19,26","0,32","3,33","6,83","-0,15","0,29","-11,82","-1,12","10,89","2,84","5,15","-5,58","1,73","-19,26","0,71","15,14","26,61","-14,77","-0,80","-8,97","-2,86","60,30","0,19","4,85","4,56","11,46","0,11","10,31","10,33","8,23","-0,44","-2,86","-3,54"
Polos,https://app.aivia.io/ranking/859,"5,85",,,"214,23","6,91","59,05","-40,86","0,32","8,84","12,87","11,98","59,05","45,69","1,66","7,74","-10,45","24,88","-14,48","8,73","11,11","-40,86","-7,60","9,93","-24,25","-18,84","3,37","17,12","-2,33","3,16","24,99","-22,85","21,06","2,70","-4,57","-13,65","12,48","0,45","3,19","50,12"
Triple AI TradeLink PR_CT_BTC (ex Прикольные инвестиции),https://tradelink.pro/portfolio/a59e684c-08be-475f-b3e2-3596469967dd,"6,81","-38,71",,"103,99","6,93","51,43","-27,33","0,33",,,,,,,,,,,,,,,,,"1,46","7,60","-27,33","-5,16","25,08","13,73","51,43","5,11","-9,66","28,44","-21,52","-12,52","-0,86","25,99","20,34"
АлгоКапитал BIT ENERGY,https://t.me/usdtenergy,"7,02",,,"111,67","7,44","45,82","-28,35","0,36",,,,,,,,,,,,,,,,,"1,54","9,04","5,71","3,78","37,07","12,43","4,05","-1,06","4,50","30,50","-25,50","18,56","-28,35","45,82","-12,72"
Copy-Trade ENOT 5,https://www.mql5.com/ru/signals/1378207?source=Site+Signals+My,"6,23","-53,20",,"168,16","7,64","62,78","-21,36","0,38",,,,,,,,,,"-8,61","62,78","7,57","3,47","41,11","29,19","27,41","-14,26","-10,46","2,63","25,16","1,48","-1,84","-2,74","-7,70","-16,61","-21,36","2,53","-2,62","8,64","-0,35","11,55"
Ed Khan Utopia Binance,https://tradelink.pro/portfolio/8e216b21-54de-42f0-a03c-5ea789163151,"1,80","-12,67",,"44,45","2,02","13,73","-7,03","0,41",,,,,,,,,,"5,66","9,75","-3,06","9,34","3,59","-2,15","-0,96","2,02","-1,25","0,43","1,58","5,15","-0,72","4,04","1,58","-3,74","3,19","13,73","1,55","-7,03","0,36","-3,55"
IQ Security Fund IQSF_track_RISK_X2,https://tradelink.pro/portfolio/9edc3f9e-fe0f-49ff-aeb3-70b9289c2c86,"8,23","-75,55",,"311,68","12,47","67,98","-31,95","0,51",,,,,,,"5,03","-10,89","9,22","44,76","0,03","-17,46","0,59","-8,67","-7,31","-4,81","12,39","9,43","45,38","2,97","6,31","0,71","67,98","34,47","-12,06","54,22","-9,02","-10,05","-31,95","27,82","-3,29"
Triple AI Bourbaki [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/b6ded37e-a49f-4e71-b724-977b584fb8f7,"3,45","-25,34",,"50,46","3,88","14,53","-10,19","0,52",,,,,,,,,,,,,,,,,,,"5,36","4,16","9,93","14,19","2,24","4,51","-10,19","8,99","1,50","0,88","-6,02","-5,25","14,53"
Triple AI Bourbaki Pro [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/f9a96823-709b-46d0-926a-78707cf2c0dd,"8,20","-46,29",,"129,88","9,99","42,98","-25,19","0,53",,,,,,,,,,,,,,,,,,,"26,99","22,10","7,42","18,81","42,98","-0,20","-4,85","22,76","-25,19","10,60","-9,26","-15,57","9,95"
Copy-Trade ICE LAB,https://copy-trade.pro/ice-lab-monitoring,"12,13",,,"225,73","16,12","74,80","-31,60","0,55",,,,,,,,,,,,,,,,,,"11,60","48,20","5,30","6,30","1,60","74,80","8,40","-12,34","55,60","-10,30","-10,07","-31,60","25,62","-3,33"
AfiTrading Foundation Force,https://copy.afitrading.ru/ranking/1944,"6,76",,"-30,88","159,56","8,86","36,91","-36,06","0,55",,,,,,,,,,,,,,"8,87","20,08","36,91","17,98","13,70","11,54","-0,12","-36,06","0,00","5,50","5,11","2,60","8,70","10,78","24,99","2,65","-21,61","10,14"
SAVINSKYI PROFIT RANGE S1,https://tradelink.pro/portfolio/df18b46a-ff64-4d01-84e8-31027975e96d,"2,53","-13,61",,"72,13","3,14","17,81","-6,58","0,57",,,,,,,,,"4,01","4,59","4,14","2,56","17,81","7,20","0,03","-1,15","-2,88","5,47","-1,03","-0,72","6,06","5,37","-5,47","-1,68","3,07","-6,58","2,10","-4,24","1,81","10,75","6,91"
Create Capital EK Full House,https://app.createcapital.pro/ranking/2462,"5,38",,"-0,53","86,02","6,62","40,06","-4,35","0,58",,,,,,,,,,,,,,,,,,,"2,02","40,06","2,11","12,80","2,87","-2,50","-4,35","-1,44","6,65","0,34","1,14","6,95","3,27"
Alfa-Quant Capital,https://www.comon.ru/strategies/109402/,"3,12","-16,00",,"68,88","3,83","20,01","-9,17","0,62",,,,,,,,,,,,,,"-3,68","5,12","2,15","-9,17","-0,83","-4,09","20,01","5,37","3,26","4,58","6,95","4,72","4,35","5,19","2,97","-2,94","7,19","5,09"
Ed Khan CryptoGallery Utopia,"https://fund.edkhan.net/ranking/1180
https://app.createcapital.pro/ranking/2461
https://app.coinsorcium.com/ranking/2755
","8,46",,"-0,44","321,61","14,62","95,55","-12,03","0,65",,,,,,,,,,"-7,47","95,55","-0,37","35,74","8,87","-4,79","-1,92","6,12","-3,37","1,50","6,85","14,29","-1,28","9,74","5,16","-8,48","9,79","30,37","4,75","-12,03","2,85","-5,73"
Ed Khan Knife Catcher D1,https://tradelink.pro/portfolio/eb31f6d9-8d74-4ab2-8c5b-5ee9b54de0dd,"2,06","-5,90",,"29,76","2,29","8,59","-1,39","0,79",,,,,,,,,,,,,,,,,,,"0,12","-1,39","2,82","1,41","0,47","-0,53","1,77","8,59","-0,03","3,38","2,20","0,97","7,02"
Arthem Capital Optimal,"https://tradelink.pro/portfolio/5862e2a8-e951-40c7-afb6-fad2e1c76ba6
https://tradelink.pro/portfolio/db4b3150-aadc-4403-ac0b-4c587656c273","5,47","-43,96",,"152,60","8,03","24,45","-17,50","0,79",,,,,,,,,,,,,"2,06","17,62","10,83","15,83","6,79","-1,76","24,45","-0,09","-8,13","8,37","20,49","5,22","2,33","3,71","10,81","-5,54","5,55","2,92","-17,50"
Ed Khan CryptoGallery First InFractals,"https://fund.edkhan.net/ranking/841
https://copy.afifoundation.ru/ranking/2095
https://copy.raprofit.com/ranking/2231
","3,40",,"-0,42","166,37","5,37","31,91","-7,59","0,80","11,92","8,32","4,30","1,57","6,49","3,14","2,62","1,29","4,02","2,14","-0,60","4,84","-2,00","3,88","3,21","3,27","8,97","3,18","4,30","2,72","-1,32","5,14","31,91","0,47","-7,59","-3,10","1,69","7,08","-6,46","0,46","-0,36"
Triple AI Bourbaki Ultra [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/1f431ee6-2191-4f02-bdf8-59d7c2eee906,"7,07","-42,15",,"127,35","9,80","20,49","-14,56","0,89",,,,,,,,,,,,,,,,,,,"16,53","2,94","18,37","20,49","9,74","16,29","8,74","7,14","-0,11","-1,67","-8,97","-14,56","17,00"
AfiTrading Foundation Afi Capital,"https://copy.afifoundation.ru/ranking/2104
https://copy.raprofit.com/ranking/2233","6,44",,"-30,59","153,63","9,60","24,99","-21,61","0,99",,,,,,,,,,,,,,,,"12,17","6,88","4,28","17,22","2,43","2,25","4,07","10,39","5,11","2,59","8,70","10,78","24,99","2,65","-21,61","10,14"
IQ Security Fund ICE LAB,https://www.myfxbook.com/members/IceFXMarkets/ice-lab/9792935/Swzzjd7PGtUn42t0Ceh9,"5,46","-26,97",,"347,01","11,19","35,25","-10,51","1,03","0,22","3,02","4,47","-0,65","18,51","12,13","-1,76","1,87","7,18","11,76","5,87","4,40","0,48","11,52","5,46","-1,39","0,00","-0,32","12,18","-4,36","1,39","0,65","35,25","24,44","-4,34","32,80","-10,51","-3,66","-9,47","14,81","-2,77"
AVA Family Crypto Investment Fund,"https://tradelink.pro/portfolio/edbe357a-4f7d-4ce1-96ae-f72750e8143a
https://tradelink.pro/portfolio/b9cbf2f4-6d22-482e-8b40-a006fb1141ab
","13,88","-59,44",,"982,71","37,80","136,18","-44,26","1,05",,,,,,"0,47","7,70","19,42","6,57","2,57","5,33","1,23","31,70","1,62","-5,10","6,42","6,81","14,58","108,18","17,80","136,18","-44,26","28,51","11,91","5,68","20,86","15,59","-30,54","-1,64","-10,95","4,21"
SYNDICATE Midas,https://tradelink.pro/portfolio/834307e5-1bf6-4c6c-a03c-170c3c79423d,"5,06","-24,33",,"163,28","8,16","16,30","-2,22","1,68",,,,,,,,,,,,"-1,97","10,84","11,50","8,34","4,17","5,88","3,56","8,48","4,50","3,91","-2,22","16,30","1,29","-2,21","9,54","3,77","7,30","1,13","2,86","4,32"
CryptoHunter,https://tradelink.pro/portfolio/c1cdf3b8-3a59-4344-b51c-c02c3344bc3c,"21,17","-24,09",,"906,06","64,72","138,28","0,78","1,84",,,,,,,,,,,,,,,,,,"138,28","27,91","28,72","30,07","3,86","15,03","9,52","2,59","4,68","3,88","0,78","4,12","10,30","16,70"
IQ Security Fund high risk portfolio 6,https://tradelink.pro/portfolio/6f69b739-0f8e-44f0-b975-71bbee9b1ac4,"15,67","-84,02",,"-58,06","-7,26","180,86","-70,26",-,,,,,,,,,,,,,,,,,,,,,,,,"-29,71","-33,91","90,58","-70,26","70,68","-51,67","180,86","-31,25"
"Algotoria IQCF on Nik's account
",https://tradelink.pro/portfolio/14355d83-8376-4813-83bb-e5e192fde809,"-3,70","-39,24",,"-23,39","-4,68","25,12","-28,32",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,88","-7,49","-28,32","25,12","-2,93"
Triple AI Bourbaki 30m [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/b3a528af-89b9-44ca-9a81-95c8d868ca5a,"-2,48","-39,27",,"-19,15","-3,19","10,50","-21,62",-,,,,,,,,,,,,,,,,,,,,,,,,,,"3,67","-21,62","10,50","-20,89","9,25","4,19"
Algotoria USDT,https://tradelink.pro/portfolio/4d32ae55-dc4f-4221-959f-31db0b12d2bf,"-2,00","-37,43",,"-15,41","-2,57","24,16","-16,71",-,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,36","-16,71","-4,90","-3,14","24,16","-9,05"
Triple AI Bourbaki 30m [ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/d6548c54-bca5-461f-b725-699def7c6097,"-4,84","-32,23",,"-26,60","-4,43","6,87","-10,36",-,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,18","-9,68","-10,36","-6,31","6,87","-8,38"
CosmoTrade,https://www.bybit.com/copyTrade/trade-center/detail?leaderMark=eRbN2R8ENCKBqCflZgVJjQ%3D%3D&ref=ZNAA8&linkUuid=648471fa-c1db-4819-a7f8-58ac4af7f099,"-8,22","-53,86",,"-50,32","-8,39","36,32","-33,90",-,,,,,,,,,,,,,,,,,,,,,,,,,,"-31,92","-14,03","36,32","-0,18","-33,90","-5,62"
Copy-Trade Algotoria,https://copy-trade.pro/algotoria-monitoring,"0,80",,,"-1,79","-0,30","32,82","-15,60",-,,,,,,,,,,,,,,,,,,,,,,,,,,"4,90","-15,60","-3,45","-4,03","32,82","-9,87"
Copy-Trade PHOENIX by hamster-bot,https://copy-trade.pro/phoenix-by-hamster-bot-monitoring,"-1,43",,,"-14,26","-1,43","6,20","-6,40",-,,,,,,,,,,,,,,,,,,,,,,"1,80","-2,00","-4,10","-6,40","6,20","-4,60","2,50","-6,14","3,64","-5,22"
Create Capital Crypto ETF SPOT (Ex Create Capital SPOT Day Trade),https://app.createcapital.pro/ranking/2617,"3,89",,,"31,40","3,92","17,09","-12,06",-,,,,,,,,,,,,,,,,,,,,,,,,"-6,61","8,08","8,27","-2,18","-12,06","7,92","17,09","10,61"
Coin Sorcium Golden Grail,https://app.coinsorcium.com/ranking/2745,"1,82",,"-8,25","10,18","1,70","12,75","-7,65",-,,,,,,,,,,,,,,,,,,,,,,,,,,"12,75","-0,74","1,23","-7,65","-0,52","5,86"
Coin Sorcium Knife Catcher,https://app.coinsorcium.com/ranking/2756,"4,68",,"-0,31","31,01","5,17","13,27","0,94",-,,,,,,,,,,,,,,,,,,,,,,,,,,"4,34","2,94","3,77","0,94","2,81","13,27"
Copy-Trade Utopia,https://copy-trade.pro/utopia-monitoring,"3,18",,,"18,49","2,64","29,60","-13,03",-,,,,,,,,,,,,,,,,,,,,,,,,,"-0,10","8,60","29,60","3,64","-13,03","0,88","-7,32"
RAProfit REFLECTOR,https://copy.raprofit.com/ranking/2518,"4,65",,"-38,30","47,31","5,26","15,97","-4,93",-,,,,,,,,,,,,,,,,,,,,,,,"1,96","14,40","13,31","-4,93","0,13","1,55","-0,34","-0,24","15,97"
RAProfit DOBBLE TOP,https://copy.raprofit.com/ranking/2664,"5,69",,"-47,18","46,90","6,70","9,46","0,57",-,,,,,,,,,,,,,,,,,,,,,,,,,"0,57","9,46","8,62","3,01","5,09","8,81","4,30"
bm-analytics (ex Trade-bm),https://tradelink.pro/portfolio/3957e891-ba96-458b-9afa-8b75c1232050,"2,68","-38,55",,"2,35","0,34","38,47","-28,09",-,,,,,,,,,,,,,,,,,,,,,,,,,"-11,14","38,47","-4,72","33,49","-4,55","-4,72","-28,09"
Copy-Trade White Waters,https://copy-trade.pro/white-waters-monitoring,"7,05",,,"70,79","6,44","81,60","-10,40",-,,,,,,,,,,,,,,,,,,,,,"81,60","-10,40","-3,60","12,70","-0,90","-1,60","-8,70","5,16","-2,39","1,35","4,31"
RAProfit Mirror,"https://copy.raprofit.com/ranking/2531
https://app.createcapital.pro/ranking/2601","6,45",,"-73,65","91,69","8,34","17,90","-12,97",-,,,,,,,,,,,,,,,,,,,,,"13,50","9,41","9,07","9,19","8,44","17,90","-12,97","1,38","-0,34","-0,29","15,63"
RAProfit ScalpingDream Ultima,https://copy.raprofit.com/ranking/2773,"22,36",,"-85,59","134,61","26,92","83,54","-8,40",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,54","-8,40","24,04","13,57","-0,94"
IQ Security Fund high risk portfolio 2,"https://tradelink.pro/portfolio/639867a2-ad21-4793-9fe1-209fa5b9cf0b
https://tradelink.pro/portfolio/522dd4db-d849-4c7e-84e3-7d24c1d1e21c
https://tradelink.pro/portfolio/f7b6f3d9-734f-40b2-9944-24f94bba136a","34,96","-76,47",,"355,04","35,50","152,50","-58,86",-,,,,,,,,,,,,,,,,,,,,,,"27,28","152,50","80,59","-22,32","145,08","-20,35","-24,39","-58,86","75,23","-5,14"
Copy-Trade 4 трейда в месяц,https://copy-trade.pro/nikolay-lyashenko-binance-monitoring,"18,13",,,"376,01","37,60","42,31","-13,25",-,,,,,,,,,,,,,,,,,,,,,,"23,40","30,50","18,20","39,29","19,35","19,90","-13,25","0,83","42,31","0,79"
"Scooby-ДУ Horizonvest криптофонд
 ",https://tradelink.pro/portfolio/46d6d8a6-fce2-41ed-af8b-d649794f9421,"7,19","-36,47",,"98,09","8,92","20,58","-26,10",-,,,,,,,,,,,,,,,,,,,,,"20,58","12,23","3,00","11,48","10,14","-26,10","4,92","10,72","0,67","16,49","14,97"
