Проект,Мониторинг,Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24
EDKhan Felix,https://fund.edkhan.net/ranking/1535,"2,54",,"-5,05","55,85","2,43","33,73","-24,59","0,22",,,,,,,,,,,,"1,29","33,73","11,60","1,33","6,72","6,33","5,29","3,26","-0,91","8,29","1,10","7,59","-9,10","-15,08","-24,59","4,51","0,51","-9,17","16,97","2,44","2,32","-3,09","7,07"
SAVINSKYI HORIZON BREAK,https://tradelink.pro/portfolio/cd6adf35-3dca-446b-a73f-8ae56eb1a560,"3,12","-32,21",,"46,42","2,90","44,91","-16,24","0,22",,,,,,,,,,,,,,,,,,,"0,38","-0,27","-4,39","-16,24","6,44","4,27","-3,49","1,51","-2,45","-10,86","1,55","6,37","10,84","10,83","0,46","44,91"
MyMbot TradeLink MYM_USD,https://tradelink.pro/portfolio/534119c7-64d8-447d-9c01-8c3c7b73483f,"2,23","-37,05",,"33,07","2,07","16,09","-22,50","0,22",,,,,,,,,,,,,,,,,,,"2,93","-3,81","2,73","2,23","12,59","4,26","-0,72","5,84","5,65","-3,24","2,67","-22,50","-9,37","14,09","16,09","6,26"
Copy-Trade Nikolay Lyashenko Торговля по объемам и Дивергенциям,https://copy-trade.pro/nikolay-lyashenko-monitoring,"9,28",,,"118,86","6,99","51,83","-49,62","0,24",,,,,,,,,,,,,,,,,,"-2,27","-8,67","20,24","20,19","-49,62","47,93","16,51","9,15","34,29","51,83","-48,29","4,06","3,25","12,20","-21,80","27,95","40,77"
Copy-Trade White Waters,https://copy-trade.pro/white-waters-monitoring,"6,01",,,"81,64","5,83","81,60","-10,40","0,26",,,,,,,,,,,,,,,,,,,,,"81,60","-10,40","-3,60","12,70","-0,90","-1,60","-8,70","5,16","-2,39","1,35","4,31","4,61","-4,92","6,93"
MB STRATEGY (ex AfiTrading Foundation Afi Capital),https://copy.raprofit.com/ranking/2233,"5,53",,"-53,28","95,43","5,02","46,71","-50,17","0,27",,,,,,,,,,,,,,,,"12,17","6,88","4,28","17,22","2,43","2,25","4,07","10,39","5,11","2,59","8,70","10,78","24,99","2,65","-21,61","10,14","46,71","-50,17","5,40"
FieryTrading Bitcoin Omega 3d,https://app.zignaly.com/profit-sharing/6245c4cd8aedc679b61cf1a7,"14,59","-41,50",,"203,16","13,54","156,67","-42,53","0,29",,,,,,,,,,,,,,,,,,,,"-0,67","38,65","3,63","-42,53","-24,63","-0,79","23,40","-18,31","13,30","-10,42","66,23","19,55","1,25","-6,45","156,67"
TradeGPT Runbot ETH,https://app.zignaly.com/profit-sharing/641c7ca28aedc67f823a13a5,"4,86","-49,40",,"55,06","4,59","38,72","-27,88","0,29",,,,,,,,,,,,,,,,,,,,,,,"4,27","7,51","11,00","4,89","10,67","-1,52","5,79","-12,21","38,72","15,80","1,31","-27,88"
Alfa-Quant 300,https://www.comon.ru/strategies/17475/,"3,29","-37,76",,"138,25","4,07","60,30","-19,26","0,31","3,33","6,83","-0,15","0,29","-11,82","-1,12","10,89","2,84","5,15","-5,58","1,73","-19,26","0,71","15,14","26,61","-14,77","-0,80","-8,97","-2,86","60,30","0,19","4,85","4,56","11,46","0,11","10,31","10,33","8,23","-0,44","-2,86","-3,54","-0,05","-0,39","0,75"
TradeForImpact Ultra Safe,https://app.zignaly.com/profit-sharing/61af89264bd3384d8220f87c,"3,28","-9,10",,"55,31","3,46","30,77","-9,74","0,32",,,,,,,,,,,,,,,,,,,"-9,74","-4,37","19,58","0,52","30,77","-7,21","-1,26","-1,05","-0,65","-1,00","3,97","3,99","2,78","7,96","-7,22","15,33"
Aquiles Scalper,https://app.zignaly.com/profit-sharing/5fd8abc4d8839644fe118b04,"5,56","-18,00",,"96,93","6,06","46,36","-14,39","0,34",,,,,,,,,,,,,,,,,,,"7,86","-9,72","21,15","-14,39","0,29","8,38","-1,44","-3,72","-8,74","2,66","-3,93","45,56","3,50","-1,25","-3,54","46,36"
Create Capital EK Full House,https://app.createcapital.pro/ranking/2462,"5,17",,"-2,27","97,65","6,10","40,06","-15,12","0,43",,,,,,,,,,,,,,,,,,,"2,02","40,06","2,11","12,80","2,87","-2,50","-4,35","-1,44","6,65","0,34","1,14","6,95","3,27","-7,78","-15,12","35,74"
Ed Khan Utopia Binance,https://tradelink.pro/portfolio/8e216b21-54de-42f0-a03c-5ea789163151,"1,88","-28,91",,"54,81","2,19","13,73","-7,03","0,44",,,,,,,,,,"5,66","9,75","-3,06","9,34","3,59","-2,15","-0,96","2,02","-1,25","0,43","1,58","5,15","-0,72","4,04","1,58","-3,74","3,19","13,73","1,55","-7,03","0,36","-3,55","-1,69","-0,67","9,75"
Ed Khan First InFractals,https://tradelink.pro/portfolio/ca39bb79-b9d6-4b06-bcd7-d80492275bae,"2,64","-22,87",,"103,28","3,44","27,39","-8,09","0,46",,,,,"4,53","3,14","2,62","1,30","4,02","1,76","-1,54","2,58","-4,38","2,17","1,75","1,10","7,62","2,39","2,14","0,38","-3,87","2,46","27,39","-1,29","-7,78","-1,10","-2,96","4,85","-8,09","0,46","-3,60","19,55","3,67","17,85"
PHOENIX by hamster-bot,https://hamster-bot.com/phoenix,"1,94","-16,73",,"80,81","2,45","14,73","-12,24","0,48",,"0,52","-0,30","2,62","10,89","5,12","2,72","0,72","-0,59","1,61","0,43","2,96","6,00","3,12","10,31","-1,11","-12,24","-0,51","9,58","-0,47","14,73","0,96","2,50","-4,07","-4,31","5,55","-4,02","2,37","-4,28","2,93","-1,66","4,65","1,51","5,66"
Blueprint Algo,https://app.zignaly.com/profit-sharing/6401ef868aedc67e395181e8,"5,33","-14,90",,"74,52","6,21","24,71","-10,12","0,53",,,,,,,,,,,,,,,,,,,,,,,"11,60","-4,14","-2,55","5,09","-6,02","-0,75","0,00","17,02","4,67","24,71","-10,12","24,39"
Polos,https://app.aivia.io/ranking/859,"6,66",,"-0,33","374,82","11,02","59,05","-40,86","0,53","8,84","12,87","11,98","59,05","45,69","1,66","7,74","-10,45","24,88","-14,48","8,73","11,11","-40,86","-7,60","9,93","-24,25","-18,84","3,37","17,12","-2,33","3,16","24,99","-22,85","21,06","2,70","-4,57","-13,65","12,48","0,45","3,19","50,12","26,93","5,09","13,28"
AlgoRider - E.B. Pro,https://app.zignaly.com/profit-sharing/63f3a5348aedc641723f8d65,"5,66","-27,50",,"88,07","6,77","26,43","-13,28","0,54",,,,,,,,,,,,,,,,,,,,,,"24,63","14,83","-3,91","-1,80","11,51","-3,87","5,17","-0,31","15,00","-13,28","8,92","-9,77","26,43"
SAVINSKYI PROFIT RANGE S1,https://tradelink.pro/portfolio/df18b46a-ff64-4d01-84e8-31027975e96d,"2,41","-13,61",,"80,15","3,08","17,81","-6,58","0,59",,,,,,,,,"4,01","4,59","4,14","2,56","17,81","7,20","0,03","-1,15","-2,88","5,47","-1,03","-0,72","6,06","5,37","-5,47","-1,68","3,07","-6,58","2,10","-4,24","1,81","10,75","6,91","3,66","1,35","-0,38"
Algotoria MIXED,https://tradelink.pro/portfolio/8d78b017-b2aa-47f1-8c92-ece97c3d7a82 ,"8,14","-47,25",,"370,52","14,25","94,10","-19,37","0,60",,,,,,,,,"-1,68","6,24","7,62","-11,15","12,46","10,94","15,33","-2,86","-7,02","5,15","2,27","-10,92","94,10","1,90","-2,94","0,98","-7,25","-2,39","-19,37","-10,00","-0,78","38,87","-6,34","38,56","13,69","46,15"
Alfa-Quant Capital,https://www.comon.ru/strategies/109402/,"2,95","-15,53",,"78,21","3,72","20,01","-9,17","0,63",,,,,,,,,,,,,,"-3,68","5,12","2,15","-9,17","-0,83","-4,09","20,01","5,37","3,26","4,58","6,95","4,72","4,35","5,19","2,97","-2,94","7,19","5,09","0,33","7,90","-2,52"
Algotoria,https://t.me/ALGOTORIA,"6,53","-26,38",,"376,12","12,13","67,13","-13,14","0,65",,,,"-6,78","25,29","13,37","-13,14","0,56","-1,17","17,97","12,98","-12,37","3,89","14,62","14,54","-1,46","-8,35","5,09","1,96","-10,46","67,13","1,96","-3,00","1,99","-8,20","-5,16","-12,58","-4,90","-3,14","24,16","-9,05","26,05","16,18","54,40"
Ed Khan CryptoGallery Utopia,"https://fund.edkhan.net/ranking/1180
https://app.createcapital.pro/ranking/2461
https://app.coinsorcium.com/ranking/2755
","7,79",,"-0,44","356,15","14,25","95,55","-12,03","0,67",,,,,,,,,,"-7,47","95,55","-0,37","35,74","8,87","-4,79","-1,92","6,12","-3,37","1,50","6,85","14,29","-1,28","9,74","5,16","-8,48","9,79","30,37","4,75","-12,03","2,85","-5,73","-3,97","0,82","11,75"
Algo Capital BIT ENERGY,https://t.me/usdtenergy,"10,22",,,"299,53","16,64","64,00","-28,35","0,72",,,,,,,,,,,,,,,,,"1,54","9,04","5,71","3,78","37,07","12,43","4,05","-1,06","4,50","30,50","-25,50","18,56","-28,35","45,82","-12,72","9,83","4,79","64,00"
Steevie Speedy,https://app.zignaly.com/profit-sharing/60b748803a81963f81157f92,"1,60","-0,20",,"26,39","1,76","5,98","-1,11","0,73",,,,,,,,,,,,,,,,,,,,"0,03","0,04","0,31","0,21","0,55","0,34","-1,11","-0,07","2,89","-0,06","1,21","5,98","5,79","5,91","1,98"
Triple AI TradeLink PR_CT_BTC (ex Прикольные инвестиции),https://tradelink.pro/portfolio/a59e684c-08be-475f-b3e2-3596469967dd,"9,49","-38,71",,"277,78","15,43","51,43","-27,33","0,76",,,,,,,,,,,,,,,,,"1,46","7,60","-27,33","-5,16","25,08","13,73","51,43","5,11","-9,66","28,44","-21,52","-12,52","-0,86","25,99","20,34","25,64","17,04","25,94"
RAProfit REFLECTOR,https://copy.raprofit.com/ranking/2518,"9,79",,"-68,86","170,53","14,21","63,86","-4,93","0,78",,,,,,,,,,,,,,,,,,,,,,,"1,96","14,40","13,31","-4,93","0,13","1,55","-0,34","-0,24","15,97","63,86","2,38","9,47"
Arthem Capital Optimal,"https://tradelink.pro/portfolio/5862e2a8-e951-40c7-afb6-fad2e1c76ba6
https://tradelink.pro/portfolio/db4b3150-aadc-4403-ac0b-4c587656c273","4,94","-43,96",,"164,65","7,48","24,45","-17,50","0,78",,,,,,,,,,,,,"2,06","17,62","10,83","15,83","6,79","-1,76","24,45","-0,09","-8,13","8,37","20,49","5,22","2,33","3,71","10,81","-5,54","5,55","2,92","-17,50","-1,15","2,07","3,84"
Triple AI Bourbaki Pro [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/f9a96823-709b-46d0-926a-78707cf2c0dd,"9,86","-46,29",,"260,45","16,28","42,98","-25,19","0,88",,,,,,,,,,,,,,,,,,,"26,99","22,10","7,42","18,81","42,98","-0,20","-4,85","22,76","-25,19","10,60","-9,26","-15,57","9,95","15,53","0,00","35,72"
IQ Security Fund IQSF_track_RISK_X2,https://tradelink.pro/portfolio/9edc3f9e-fe0f-49ff-aeb3-70b9289c2c86,"9,33","-75,55",,"583,36","20,83","67,98","-31,95","0,90",,,,,,,"5,03","-10,89","9,22","44,76","0,03","-17,46","0,59","-8,67","-7,31","-4,81","12,39","9,43","45,38","2,97","6,31","0,71","67,98","34,47","-12,06","54,22","-9,02","-10,05","-31,95","27,82","-3,29","24,65","16,00","14,80"
AVA Family Crypto Investment Fund Грааль 10v0.57,"https://tradelink.pro/portfolio/edbe357a-4f7d-4ce1-96ae-f72750e8143a
https://tradelink.pro/portfolio/b9cbf2f4-6d22-482e-8b40-a006fb1141ab
","12,22","-59,44",,"913,42","31,50","136,18","-44,26","0,92",,,,,,"0,47","7,70","19,42","6,57","2,57","5,33","1,23","31,70","1,62","-5,10","6,42","6,81","14,58","108,18","17,80","136,18","-44,26","28,51","11,91","5,68","20,86","15,59","-30,54","-1,64","-10,95","4,21","-6,40","0,00","0,00"
Copy-Trade ICE LAB,https://copy-trade.pro/ice-lab-monitoring,"13,37",,,"450,01","26,47","74,80","-31,60","0,99",,,,,,,,,,,,,,,,,,"11,60","48,20","5,30","6,30","1,60","74,80","8,40","-12,34","55,60","-10,30","-10,07","-31,60","25,62","-3,33","24,65","16,01","16,77"
Ed Khan Knife Catcher D1,https://tradelink.pro/portfolio/eb31f6d9-8d74-4ab2-8c5b-5ee9b54de0dd,"2,94","-5,90",,"57,82","3,61","9,12","-1,39","1,10",,,,,,,,,,,,,,,,,,,"0,12","-1,39","2,82","1,41","0,47","-0,53","1,77","8,59","-0,03","3,38","2,20","0,97","7,02","9,12","6,03","5,12"
RAProfit Mirror,"https://copy.raprofit.com/ranking/2531
https://app.createcapital.pro/ranking/2601","9,49",,"-73,65","222,00","15,86","45,27","-12,97","1,14",,,,,,,,,,,,,,,,,,,,,"13,50","9,41","9,07","9,19","8,44","17,90","-12,97","1,38","-0,34","-0,29","15,63","-4,89","21,58","45,27"
IQ Security Fund high risk portfolio 2,"https://tradelink.pro/portfolio/639867a2-ad21-4793-9fe1-209fa5b9cf0b
https://tradelink.pro/portfolio/522dd4db-d849-4c7e-84e3-7d24c1d1e21c
https://tradelink.pro/portfolio/f7b6f3d9-734f-40b2-9944-24f94bba136a","35,20","-76,47",,"1 017,02","78,23","152,50","-58,86","1,20",,,,,,,,,,,,,,,,,,,,,,"27,28","152,50","80,59","-22,32","145,08","-20,35","-24,39","-58,86","75,23","-5,14","57,02","14,69","36,31"
Ed Khan CryptoGallery First InFractals,"https://fund.edkhan.net/ranking/841
https://copy.afifoundation.ru/ranking/2095
https://copy.raprofit.com/ranking/2231
","4,35",,"-1,71","295,88","8,70","31,91","-7,59","1,21","11,92","8,32","4,30","1,57","6,49","3,14","2,62","1,29","4,02","2,14","-0,60","4,84","-2,00","3,88","3,21","3,27","8,97","3,18","4,30","2,72","-1,32","5,14","31,91","0,47","-7,59","-3,10","1,69","7,08","-6,46","0,46","-0,36","18,75","10,19","13,58"
IQ Security Fund ICE LAB,https://www.myfxbook.com/members/IceFXMarkets/ice-lab/9792935/Swzzjd7PGtUn42t0Ceh9,"5,70","-26,97",,"459,36","13,51","35,25","-10,51","1,24","0,22","3,02","4,47","-0,65","18,51","12,13","-1,76","1,87","7,18","11,76","5,87","4,40","0,48","11,52","5,46","-1,39","0,00","-0,32","12,18","-4,36","1,39","0,65","35,25","24,44","-4,34","32,80","-10,51","-3,66","-9,47","14,81","-2,77","2,28","-0,46","22,91"
SYNDICATE (ex SYNDICATE Midas),https://tradelink.pro/portfolio/834307e5-1bf6-4c6c-a03c-170c3c79423d,"4,54","-24,33",,"171,06","7,44","16,30","-3,52","1,53",,,,,,,,,,,,"-1,97","10,84","11,50","8,34","4,17","5,88","3,56","8,48","4,50","3,91","-2,22","16,30","1,29","-2,21","9,54","3,77","7,30","1,13","2,86","4,32","2,44","4,17","-3,52"
Arthem Capital Optimal,https://arthem.pro/,"6,06",,,"248,07","11,28","18,03","-15,42","1,61",,,,,,,,,,,,,"1,94","18,03","14,18","12,21","6,87","4,35","16,62","1,91","2,30","3,70","6,54","3,29","1,53","8,40","5,43","15,43","1,97","-15,42","8,36","3,24","7,34","5,20"
Triple AI Bourbaki Ultra [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/1f431ee6-2191-4f02-bdf8-59d7c2eee906,"11,30","-42,15",,"385,97","24,12","46,88","-14,56","1,62",,,,,,,,,,,,,,,,,,,"16,53","2,94","18,37","20,49","9,74","16,29","8,74","7,14","-0,11","-1,67","-8,97","-14,56","17,00","46,88","12,03","29,90"
Nikola-Tesla CryptoHunter,https://tradelink.pro/portfolio/c1cdf3b8-3a59-4344-b51c-c02c3344bc3c,"18,49","-24,09",,"1 097,30","64,55","138,28","0,78","2,00",,,,,,,,,,,,,,,,,,"138,28","27,91","28,72","30,07","3,86","15,03","9,52","2,59","4,68","3,88","0,78","4,12","10,30","16,70","7,96","4,29","5,70"
Algo Capital BIT ENERGY,https://tradelink.pro/portfolio/3bf0d207-9041-421c-985b-b9c12fa86bdb?t=1707998400,"48,04","-85,91",,"305,06","30,51","269,96","-64,93",-,,,,,,,,,,,,,,,,,,,,,,,,,"29,05","107,75","-64,93","45,37","-64,85","164,73","-31,41","20,97","3,75","269,96"
RYFEN T2,https://app.zignaly.com/profit-sharing/646bae704bd33808da0108ed,"11,62","-40,40",,"129,86","12,99","42,91","-27,29",-,,,,,,,,,,,,,,,,,,,,,,,,,"-6,60","5,16","-27,29","39,05","-5,97","31,42","42,91","16,32","-20,50","41,74"
RAProfit DOBBLE TOP,https://copy.raprofit.com/ranking/2664,"8,78",,"-47,18","110,46","11,05","55,44","-10,70",-,,,,,,,,,,,,,,,,,,,,,,,,,"0,57","9,46","8,62","3,01","5,09","8,81","4,30","-10,70","3,21","55,44"
Algotoria USDT,https://tradelink.pro/portfolio/4d32ae55-dc4f-4221-959f-31db0b12d2bf,"9,44","-37,43",,"91,83","10,20","54,40","-16,71",-,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,36","-16,71","-4,90","-3,14","24,16","-9,05","26,05","16,52","54,40"
Coin Sorcium Knife Catcher,https://app.coinsorcium.com/ranking/2756,"6,22",,"-0,31","70,99","7,89","13,27","0,94",-,,,,,,,,,,,,,,,,,,,,,,,,,,"4,34","2,94","3,77","0,94","2,81","13,27","13,07","8,44","6,44"
Create Capital Crypto ETF SPOT (Ex Create Capital SPOT Day Trade),https://app.createcapital.pro/ranking/2617,"4,86",,,"62,61","5,69","17,09","-12,06",-,,,,,,,,,,,,,,,,,,,,,,,,"-6,61","8,08","8,27","-2,18","-12,06","7,92","17,09","10,61","6,89","2,88","12,54"
IQ Security Fund high risk portfolio 6,https://tradelink.pro/portfolio/6f69b739-0f8e-44f0-b975-71bbee9b1ac4,"27,06","-84,02",,"55,16","5,01","180,86","-70,26",-,,,,,,,,,,,,,,,,,,,,,,,,"-29,71","-33,91","90,58","-70,26","70,68","-51,67","180,86","-31,25","62,68","19,68","90,03"
Copy-Trade Algotoria,https://copy-trade.pro/algotoria-monitoring,"5,90",,,"48,12","5,35","42,42","-15,60",-,,,,,,,,,,,,,,,,,,,,,,,,,,"4,90","-15,60","-3,45","-4,03","32,82","-9,87","42,42","5,90","0,00"
"Algotoria IQCF on Nik's account
",https://tradelink.pro/portfolio/14355d83-8376-4813-83bb-e5e192fde809,"6,24","-39,24",,"41,84","5,23","25,12","-28,32",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,88","-7,49","-28,32","25,12","-2,93","23,67","23,49","21,24"
Copy-Trade Syndicate,https://copy-trade.pro/Syndicate-monitoring,"2,58",,,"22,23","2,78","7,34","-3,76",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,07","7,34","1,43","2,59","4,24","2,53","4,23","-3,76"
Copy-Trade Utopia,https://copy-trade.pro/utopia-monitoring,"2,50",,,"21,18","2,12","29,60","-13,03",-,,,,,,,,,,,,,,,,,,,,,,,,,"-0,10","8,60","29,60","3,64","-13,03","0,88","-7,32","-4,12","-1,75","8,56"
"IQ Security Fund Dynamic volume
",https://tradelink.pro/portfolio/0ec49a25-fc4a-4247-87e1-ce764818fed2,"1,87","-3,07",,"7,40","1,85","7,94","-1,86",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,86","-0,04","1,43","7,94"
Copy-Trade Optimal by Arthem Capital,https://copy-trade.pro/arthem-monitoring,"3,46",,,"-6,52","-0,82","46,62","-50,17",-,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,75","24,95","2,66","-21,69","9,19","46,62","-50,17","5,33"
CosmoTrade,https://www.bybit.com/copyTrade/trade-center/detail?leaderMark=eRbN2R8ENCKBqCflZgVJjQ%3D%3D&ref=ZNAA8&linkUuid=648471fa-c1db-4819-a7f8-58ac4af7f099,"66,29","-53,86",,"-98,38","-10,93","743,59","-99,62",-,,,,,,,,,,,,,,,,,,,,,,,,,,"-31,92","-14,03","36,32","-0,18","-33,90","-5,62","1,94","-99,62","743,59"
SAVINSKYI BitMEX Cap,https://app.aivia.io/ranking/73,"-2,82",,,"-30,12","-2,51","3,26","-14,97","-0,50","-14,97","-7,44","0,15","3,26","-1,47","-1,73","-1,47","-8,55","0,47","0,00","-2,05","0,00",,,,,,,,,,,,,,,,,,,,,,
Triple AI Bourbaki [ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/31331109-8a93-4c80-a3cb-59dd4e5dcfd6,"-6,86","-77,46",,"-67,62","-4,83","21,57","-29,50","-0,36",,,,,,,,,,,,,,,,,,,"21,57","-26,17","0,30","-3,94","-9,40","-0,49","-17,24","1,47","-11,11","-2,66","-29,50","-10,61","-15,41","7,21",,
CryptoTora,https://app.aivia.io/ranking/188,"-6,41",,,"-76,82","-5,49","8,69","-71,21","-0,28","-2,06","-2,01","-1,21","2,14","-10,75","-0,65","0,23","-7,57","5,88","0,01","4,97","-16,22","8,69","-71,21",,,,,,,,,,,,,,,,,,,,
Arthem Capital Aggressive,https://arthem.pro/,"-4,10","-63,26",,"-67,69","-5,64","24,68","-73,29","-0,24",,,,,,,,,,,,,,,,,,,,,"1,44","4,59","9,19","4,15","1,44","-2,52","5,52","24,68","-11,72","-73,29","-12,70","0,00",,
Triple AI Feynman [ETH] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/e6f56f24-b735-42e1-84a3-acdd81155d73,"-3,97","-72,80",,"-55,99","-3,73","28,16","-27,61","-0,22",,,,,,,,,,,,,,,,,"-15,01","23,47","17,03","-19,39","28,16","-2,01","1,34","0,80","-24,23","-8,17","-27,61","-13,11","-20,82","0,00","0,00",,,
AlgoTrading.cc,https://tradelink.pro/portfolio/3537789a-f065-4e6c-8611-c0db80c5731f?step=day,"-3,59",,,"-48,51","-3,73","26,11","-31,94","-0,22",,,,,"-4,17","22,96","0,007","-0,89","-22,36","-5,07","26,11","-10,20","-31,94","-22,53","7,71","5,73","-12,04",,,,,,,,,,,,,,,,,
